n,tipoCurto,Raf,Rbf,Rcf,RaTrif,RbTrif,RcTrif,cequa,ccc,cct1,cct2,VA_T2F,VB_T2F,VC_T2F,VA_TRIF,VB_TRIF,VC_TRIF,IA_T2F,IB_T2F,IC_T2F,IA_TRIF,IB_TRIF,IC_TRIF
0.001,1,1e-05,1e-05,40,13.33,13.33,55.854374,1.7148392e-07,1.2854762e-07,3.0003154e-07,3.0003154e-07,15.921106,7524.4695,7528.4281,2765.2443,5749.1935,6567.2343,139.21383,91.766555,81.275971,126.56887,99.386031,96.099916
0.001,2,1e-05,1000000,40,20,1000000,62.52437435,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,9735.144145,14772.57792,7397.872071,9903.406953,14835.51785,6900.264925,79.85437855,0.009743987199,79.85903395,82.78934477,2.006026613,84.19753607
0.001,3,1000000,1e-05,40,1000000,20,62.52437435,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,14772.45216,7397.099773,9735.921315,14825.37478,6901.060125,9880.776,0.01477874377,79.86272581,79.85067994,1.8222123,84.21443813,82.96573592
0.001,4,20,20,1000000,20,20,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,3952.119405,10299.02252,13688.90649,3957.779986,10452.90333,13846.98277,98.48247299,98.47217297,0.01195877255,99.03302493,98.10159152,1.738843209
0.001,5,1000000,1000000,1000000,1000000,1000000,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,13799.77846,13799.77845,13799.77848,14004.54911,13996.82352,13976.16722,0.007975891749,0.007975891554,0.007975682048,1.776996021,2.007228547,1.776911394
0.1,1,1e-05,1e-05,40,13.33,13.33,51.640247,1.7148392e-07,1.2854762e-07,3.0003154e-07,3.0003154e-07,1482.8676,7434.4818,7732.7302,3868.7234,6149.3492,6822.8706,128.37535,88.590858,78.369753,115.71528,94.953887,91.188983
0.1,2,1e-05,1000000,40,20,1000000,58.31024716,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,9900.154036,14707.27162,7573.393729,10062.42114,14801.40047,7206.911235,75.96077341,0.00996217913,75.9658063,77.90890939,2.006160174,79.3377753
0.1,3,1000000,1e-05,40,1000000,20,58.31024716,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,14707.15213,7572.719425,9900.847152,14805.6943,7222.911308,10022.43283,0.01443291679,75.96908444,75.95749231,1.813962646,79.53326068,78.2676509
0.1,4,20,20,1000000,20,20,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,4864.542461,10200.47923,13907.85779,4880.312216,10336.34965,14080.39858,90.89052766,90.88058124,0.01195872904,91.77110514,90.75013306,1.744267006
0.1,5,1000000,1000000,1000000,1000000,1000000,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,13799.77846,13799.77845,13799.77847,14004.55109,13996.8352,13976.17209,0.007975847674,0.007975847549,0.007975662737,1.776947085,2.00720128,1.776911717
0.15,1,1e-05,1e-05,40,13.33,13.33,49.5119,1.7148392e-07,1.2854762e-07,3.0003154e-07,3.0003154e-07,2144.8893,7444.6714,7830.4616,4373.1367,6352.5455,6961.916,123.20698,86.889323,76.978179,110.74552,92.708929,88.90119
0.15,2,1e-05,1000000,40,20,1000000,56.1819001,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,9979.167058,14677.22331,7663.613867,10140.61531,14785.05489,7357.389579,74.13463695,0.01006770759,74.1398468,75.6505752,2.006223979,77.0889758
0.15,3,1000000,1e-05,40,1000000,20,56.1819001,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,14677.10745,7662.984983,9979.820351,14795.53675,7379.094453,10093.29108,0.01427277897,74.14293068,74.13155138,1.810415217,77.35810928,76.08469202
0.15,4,20,20,1000000,20,20,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,5281.50339,10187.26303,13993.32744,5301.153137,10314.88351,14172.18862,87.39671398,87.38693602,0.01195870723,88.40247818,87.34224647,1.746520102
0.15,5,1000000,1000000,1000000,1000000,1000000,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,13799.77846,13799.77845,13799.77847,14004.55183,13996.84003,13976.17406,0.007975825414,0.007975825324,0.007975652984,1.776925658,2.007188981,1.776911122
0.2,1,1e-05,1e-05,40,13.33,13.33,47.383553,1.7148392e-07,1.2854762e-07,3.0003154e-07,3.0003154e-07,2757.6487,7482.3358,7924.8584,4841.5282,6552.8715,7103.3962,118.26904,85.158823,75.634329,106.09636,90.487812,86.728318
0.2,2,1e-05,1000000,40,20,1000000,54.05355303,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,10055.41397,14648.92952,7754.08294,10217.09701,14769.28313,7504.151007,72.3939454,0.0101701131,72.39932388,73.51597799,2.006285595,74.96337912
0.2,3,1000000,1e-05,40,1000000,20,54.05355303,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,14648.81742,7753.496978,10056.02901,14785.32662,7530.568315,10163.26187,0.01412141467,72.40222259,72.39104618,1.80723456,75.29700469,74.01621148
0.2,4,20,20,1000000,20,20,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,5669.404391,10192.28062,14065.37901,5692.655475,10312.4379,14249.90671,84.11505679,84.10544014,0.0119586852,85.22398415,84.12792392,1.748483628
0.2,5,1000000,1000000,1000000,1000000,1000000,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,13799.77846,13799.77845,13799.77847,14004.55239,13996.84414,13976.17568,0.007975803154,0.0079758031,0.007975643231,1.776906391,2.007177604,1.776909969
0.25,1,1e-05,1e-05,40,13.33,13.33,45.255206,1.7148392e-07,1.2854762e-07,3.0003154e-07,3.0003154e-07,3324.3488,7541.0874,8016.143,5275.7048,6748.6413,7245.1583,113.56951,83.420095,74.335832,101.74848,88.305053,84.661227
0.25,2,1e-05,1000000,40,20,1000000,51.92520597,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,10129.00054,14622.24869,7844.339057,10291.73003,14754.06725,7646.863468,70.73285734,0.01026943493,70.73839669,71.49534025,2.006345299,72.95125611
0.25,3,1000000,1e-05,40,1000000,20,51.92520597,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,14622.14064,7843.793569,10129.57899,14775.11751,7677.187131,10232.1193,0.01397817615,70.74111839,70.73013559,1.804388934,73.34141508,72.05363871
0.25,4,20,20,1000000,20,20,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,6029.79027,10211.71853,14126.08897,6056.516249,10325.25256,14315.663,81.03245503,81.0229925,0.01195866332,82.22608033,81.09725071,1.750184282
0.25,5,1000000,1000000,1000000,1000000,1000000,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,13799.77846,13799.77845,13799.77847,14004.55277,13996.84752,13976.17697,0.007975780894,0.007975780875,0.007975633478,1.776889255,2.007167108,1.776908225
0.3,1,1e-05,1e-05,40,13.33,13.33,43.126859,1.7148392e-07,1.2854762e-07,3.0003154e-07,3.0003154e-07,3848.3081,7615.5287,8104.5167,5677.9897,6938.752,7385.6596,109.10996,81.689309,73.080469,97.682154,86.171082,82.69182
