index,valorFusivel,tipoCurto,I_A_Isolador,Tempo_A_Isolador,I_B_Isolador,Tempo_B_Isolador,I_C_Isolador,Tempo_C_Isolador,I_A1_Isolador,Tempo_A1_Isolador,I_B1_Isolador,Tempo_B1_Isolador,I_A_Consumidor,Tempo_A_Consumidor,I_B_Consumidor,Tempo_B_Consumidor
1,1,1,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
2,1,2,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
3,1,3,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
4,1,4,Inf,8.9876,Inf,8.9876,Inf,8.9876,Inf,9.7657,Inf,0,Inf,9.7657,Inf,0
5,1,5,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
6,1,6,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
7,1,7,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
8,1,8,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
9,1,9,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
10,1,10,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
11,1,11,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
12,2,1,Inf,0,Inf,0,Inf,0,Inf,11.3547,Inf,0,Inf,11.3547,Inf,0
13,2,2,Inf,0,Inf,0,Inf,0,Inf,11.1749,Inf,0,Inf,11.1749,Inf,0
14,2,3,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
15,2,4,Inf,7.54283,Inf,7.54283,Inf,7.54283,Inf,9.67993,Inf,0,Inf,9.67993,Inf,0
16,2,5,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
17,2,6,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
18,2,7,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
