index,valorFusivel,tipoCurto,I_A_Isolador,Tempo_A_Isolador,Tempo_Abertura_A_Isolador,I_B_Isolador,Tempo_B_Isolador,Tempo_Abertura_B_Isolador,I_C_Isolador,Tempo_C_Isolador,Tempo_Abertura_C_Isolador,I_A1_Isolador,Tempo_A1_Isolador,Tempo_Abertura_A1_Isolador,I_B1_Isolador,Tempo_B1_Isolador,Tempo_Abertura_B1_Isolador,I_A_Consumidor,Tempo_A_Consumidor,Tempo_Abertura_A_Consumidor,I_B_Consumidor,Tempo_B_Consumidor,Tempo_Abertura_B_Consumidor
1,1,1,7.7253,8.6631,9.739,7.7203,8.6786,9.753,7.7261,8.6606,9.739,7.727,8.6578,9.735,7.727,8.6579,9.732,7.727,8.6578,9.735,7.727,8.6579,9.732
2,1,2,7.7253,8.6631,9.739,7.7203,8.6786,9.753,7.7261,8.6606,9.739,7.727,8.6578,9.735,7.727,8.6579,9.732,7.727,8.6578,9.735,7.727,8.6579,9.732
3,1,3,6.78094,12.47,13.546,4.22581,55.1416,56.218,7.25187,10.3164,11.395,7.72708,8.65769,9.735,5.00953,31.2045,32.281,7.72708,8.65769,9.735,5.00953,31.2045,32.281
4,1,4,5.9698,18.1012,19.179,0,Inf,Inf,7.44195,9.60075,10.678,7.7271,8.65762,9.735,2.68219,Inf,Inf,7.7271,8.65762,9.735,2.68219,Inf,Inf
5,1,5,4.23788,54.5974,55.675,7.23826,10.3707,11.445,6.78082,12.4706,13.55,5.00751,31.245,32.325,5.62479,21.6816,22.757,5.00751,31.245,32.325,5.62479,21.6816,22.757
6,1,6,0,Inf,Inf,7.41936,9.68188,10.756,5.94085,18.367,19.443,0,Inf,Inf,5.16928,28.2228,29.299,0,Inf,Inf,5.16928,28.2228,29.299
7,1,7,7.2522,10.3152,11.391,6.77942,12.478,13.552,4.23625,54.6702,55.751,5.63163,21.6008,22.678,7.72698,8.65798,9.732,5.63163,21.6008,22.678,7.72698,8.65798,9.732
8,1,8,7.4401,9.60735,10.683,5.96614,18.1344,19.21,0,Inf,Inf,5.18889,27.8856,28.962,7.72696,8.65805,9.733,5.18889,27.8856,28.962,7.72696,8.65805,9.733
9,1,9,0,Inf,Inf,4.47257,45.3798,46.461,6.31016,15.3575,16.437,4.74899,37.1374,38.218,0,Inf,Inf,4.74899,37.1374,38.218,0,Inf,Inf
10,1,10,6.31128,15.3495,16.426,2.03776,Inf,Inf,4.47442,45.3162,46.395,6.21052,16.0938,17.17,4.75794,36.9077,37.984,6.21052,16.0938,17.17,4.75794,36.9077,37.984
11,1,11,4.46814,45.5323,46.609,6.30606,15.3868,16.461,0,Inf,Inf,0,Inf,Inf,6.19589,16.2062,17.282,0,Inf,Inf,6.19589,16.2062,17.282
12,1,12,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
13,2,1,9.5322,4.96486,6.04,9.52507,4.97442,6.049,9.53293,4.96387,6.042,9.53399,4.96246,6.04,9.53415,4.96224,6.037,9.53399,4.96246,6.04,9.53415,4.96224,6.037
14,2,2,9.5322,4.96486,6.04,9.52507,4.97442,6.049,9.53293,4.96387,6.042,9.53399,4.96246,6.04,9.53415,4.96224,6.037,9.53399,4.96246,6.04,9.53415,4.96224,6.037
15,2,3,8.30714,7.11949,8.196,4.71478,38.0349,39.11,8.86081,6.0016,7.08,9.53406,4.96236,6.04,5.89507,18.7992,19.875,9.53406,4.96236,6.04,5.89507,18.7992,19.875
16,2,4,7.50763,9.37045,10.448,0,Inf,Inf,9.02762,5.71583,6.793,9.5341,4.96231,6.04,3.5205,Inf,Inf,9.5341,4.96231,6.04,3.5205,Inf,Inf
17,2,5,4.72848,37.6717,38.748,8.84256,6.03417,7.109,8.26585,7.215,8.291,5.88811,18.8662,19.946,6.64978,13.1882,14.263,5.88811,18.8662,19.946,6.64978,13.1882,14.263
18,2,6,0,Inf,Inf,8.99866,5.76398,6.838,7.48008,9.46605,10.541,3.50852,Inf,Inf,6.10159,16.9595,18.035,3.50852,Inf,Inf,6.10159,16.9595,18.035
19,2,7,8.86159,6.00023,7.076,8.30564,7.12293,8.197,4.71937,37.9127,38.993,6.65324,13.1685,14.245,9.53408,4.96233,6.037,6.65324,13.1685,14.245,9.53408,4.96233,6.037
20,2,8,9.02719,5.71654,6.791,7.50796,9.36933,10.444,0,Inf,Inf,6.12029,16.806,17.883,9.53404,4.96239,6.037,6.12029,16.806,17.883,9.53404,4.96239,6.037
21,2,9,2.53557,Inf,Inf,5.08599,29.7233,30.804,7.46539,9.51759,10.596,5.72785,20.5109,21.59,0,Inf,Inf,5.72785,20.5109,21.59,0,Inf,Inf
22,2,10,7.46474,9.51988,10.595,2.54086,Inf,Inf,5.08771,29.6911,30.769,7.22996,10.404,11.48,5.72936,20.4944,21.571,7.22996,10.404,11.48,5.72936,20.4944,21.571
23,2,11,5.07183,29.9899,31.066,7.45819,9.54304,10.618,0,Inf,Inf,0,Inf,Inf,7.22466,10.4253,11.5,0,Inf,Inf,7.22466,10.4253,11.5
24,2,12,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
25,3,1,10.1236,4.25797,5.333,10.1253,4.25615,5.33,10.1132,4.26906,5.347,10.1193,4.26264,5.339,10.1257,4.25583,5.33,10.1193,4.26264,5.339,10.1257,4.25583,5.33
26,3,2,10.1236,4.25797,5.333,10.1253,4.25615,5.33,10.1132,4.26906,5.347,10.1193,4.26264,5.339,10.1257,4.25583,5.33,10.1193,4.26264,5.339,10.1257,4.25583,5.33
27,3,3,8.80787,6.09677,7.173,4.85277,34.594,35.67,9.38143,5.17305,6.251,10.1193,4.26255,5.339,6.17853,16.3411,17.417,10.1193,4.26255,5.339,6.17853,16.3411,17.417
28,3,4,8.01369,7.84186,8.919,0,Inf,Inf,9.54454,4.94837,6.026,10.1194,4.2625,5.339,3.80044,Inf,Inf,10.1194,4.2625,5.339,3.80044,Inf,Inf
29,3,5,4.86693,34.2665,35.343,9.36343,5.19878,6.273,8.76827,6.16941,7.244,6.17149,16.3963,17.476,6.97111,11.527,12.601,6.17149,16.3963,17.476,6.97111,11.527,12.601
30,3,6,0,Inf,Inf,9.51344,4.99007,6.065,7.98414,7.92058,8.995,3.79175,Inf,Inf,6.40244,14.7189,15.794,3.79175,Inf,Inf,6.40244,14.7189,15.794
31,3,7,9.37965,5.17558,6.25,8.80637,6.0995,7.174,4.85746,34.485,35.565,6.97512,11.5083,12.585,10.1256,4.25592,5.33,6.97512,11.5083,12.585,10.1256,4.25592,5.33
32,3,8,9.54414,4.9489,6.023,8.01404,7.84092,8.915,0,Inf,Inf,6.43038,14.5333,15.609,10.1255,4.25597,5.33,6.43038,14.5333,15.609,10.1255,4.25597,5.33
33,3,9,2.70252,Inf,Inf,5.27094,26.5359,27.616,7.82246,8.37274,9.451,6.03051,17.5616,18.641,0,Inf,Inf,6.03051,17.5616,18.641,0,Inf,Inf
34,3,10,7.82183,8.37457,9.45,2.70173,Inf,Inf,5.27277,26.5069,27.584,7.54384,9.24699,10.323,6.03388,17.5324,18.608,7.54384,9.24699,10.323,6.03388,17.5324,18.608
35,3,11,5.25626,26.7704,27.847,7.81471,8.39536,9.47,2.69637,Inf,Inf,0,Inf,Inf,7.53814,9.26627,10.341,0,Inf,Inf,7.53814,9.26627,10.341
36,3,12,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
37,4,1,16.1033,3.64342,4.719,16.0854,3.65217,4.727,16.103,3.6436,4.722,16.104,3.6431,4.721,16.1055,3.64238,4.717,16.104,3.6431,4.721,16.1055,3.64238,4.717
38,4,2,16.1033,3.64342,4.719,16.0854,3.65217,4.727,16.103,3.6436,4.722,16.104,3.6431,4.721,16.1055,3.64238,4.717,16.104,3.6431,4.721,16.1055,3.64238,4.717
39,4,3,14.2014,4.78933,5.866,8.61919,15.846,16.922,14.9938,4.25191,5.33,16.1042,3.643,4.72,10.453,9.71608,10.793,16.1042,3.643,4.72,10.453,9.71608,10.793
40,4,4,12.5671,6.29952,7.377,0,Inf,Inf,15.3903,4.01744,5.095,16.1043,3.64293,4.72,5.81269,50.6766,51.756,16.1043,3.64293,4.72,5.81269,50.6766,51.756
41,4,5,8.6433,15.7292,16.807,14.9608,4.27238,5.347,14.1938,4.795,5.874,10.4478,9.72803,10.808,11.4951,7.74254,8.818,10.4478,9.72803,10.808,11.4951,7.74254,8.818
42,4,6,0,Inf,Inf,15.3365,4.04805,5.123,12.5042,6.37208,7.448,5.80774,50.8194,51.912,10.5742,9.44817,10.525,5.80774,50.8194,51.912,10.5742,9.44817,10.525
43,4,7,14.9961,4.25045,5.326,14.1954,4.79377,5.868,8.63913,15.7494,16.83,11.5105,7.71828,8.796,16.1053,3.64249,4.717,11.5105,7.71828,8.796,16.1053,3.64249,4.717
44,4,8,15.3839,4.02109,5.097,12.5685,6.29789,7.372,0,Inf,Inf,10.6121,9.3666,10.443,16.1051,3.64255,4.717,10.6121,9.3666,10.443,16.1051,3.64255,4.717
45,4,9,0,Inf,Inf,9.07316,13.8543,14.936,13.0318,5.80141,6.881,9.91107,11.0751,12.156,0,Inf,Inf,9.91107,11.0751,12.156,0,Inf,Inf
46,4,10,13.0357,5.79753,6.874,4.39657,Inf,Inf,9.07738,13.8377,14.916,12.7286,6.11899,7.195,9.93208,11.017,12.094,12.7286,6.11899,7.195,9.93208,11.017,12.094
47,4,11,9.06447,13.8887,14.965,13.0221,5.81119,6.886,0,Inf,Inf,0,Inf,Inf,12.695,6.15587,7.231,0,Inf,Inf,12.695,6.15587,7.231
48,4,12,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
49,5,1,20.8416,2.11384,3.188,20.8612,2.1097,3.183,20.7693,2.12921,3.203,20.8565,2.1107,3.187,20.8534,2.11137,3.185,20.8565,2.1107,3.187,20.8534,2.11137,3.185
50,5,2,20.8416,2.11384,3.188,20.8612,2.1097,3.183,20.7693,2.12921,3.203,20.8565,2.1107,3.187,20.8534,2.11137,3.185,20.8565,2.1107,3.187,20.8534,2.11137,3.185
51,5,3,18.5622,2.69382,3.769,11.9481,7.0751,8.15,19.4567,2.44033,3.517,20.8569,2.11062,3.187,14.0991,4.86639,5.941,20.8569,2.11062,3.187,14.0991,4.86639,5.941
52,5,4,16.1589,3.61656,4.693,0,Inf,Inf,20.0932,2.28144,3.358,20.8571,2.11058,3.187,7.47028,23.4748,24.552,20.8571,2.11058,3.187,7.47028,23.4748,24.552
53,5,5,11.9691,7.04632,8.122,19.4722,2.43628,3.51,18.5003,2.71282,3.786,14.0986,4.86676,5.944,15.2876,4.07621,5.15,14.0986,4.86676,5.944,15.2876,4.07621,5.15
54,5,6,0,Inf,Inf,20.0688,2.28723,3.361,16.1183,3.63616,4.71,7.45224,23.6374,24.719,14.0606,4.89593,5.97,7.45224,23.6374,24.719,14.0606,4.89593,5.97
55,5,7,19.4804,2.43414,3.509,18.571,2.69111,3.765,11.9679,7.04807,8.127,15.2877,4.07614,5.153,20.853,2.11144,3.185,15.2877,4.07614,5.153,20.853,2.11144,3.185
56,5,8,20.1051,2.27862,3.353,16.1567,3.61763,4.691,0,Inf,Inf,14.1012,4.86481,5.94,20.8528,2.11149,3.185,14.1012,4.86481,5.94,20.8528,2.11149,3.185
57,5,9,5.86279,49.2632,50.344,12.2947,6.62349,7.699,17.2407,3.14912,4.224,13.1301,5.70395,6.782,0,Inf,Inf,13.1301,5.70395,6.782,0,Inf,Inf
58,5,10,17.3291,3.11509,4.191,5.88609,48.6259,49.701,12.3554,6.549,7.626,17.0387,3.22906,4.305,13.1324,5.70166,6.777,17.0387,3.22906,4.305,13.1324,5.70166,6.777
59,5,11,12.3481,6.55794,7.632,17.3261,3.11623,4.19,5.85959,49.3518,50.427,0,Inf,Inf,17.0404,3.22834,4.302,0,Inf,Inf,17.0404,3.22834,4.302
