index,valorFusivel,tipoCurto,I_A_Isolador,Tempo_A_Isolador,I_B_Isolador,Tempo_B_Isolador,I_C_Isolador,Tempo_C_Isolador,I_A1_Isolador,Tempo_A1_Isolador,I_B1_Isolador,Tempo_B1_Isolador,I_A_Consumidor,Tempo_A_Consumidor,I_B_Consumidor,Tempo_B_Consumidor
1,1,1,0,Inf,0,Inf,0,Inf,Inf,0,Inf,0,Inf,0,Inf,0
2,1,2,0,Inf,0,Inf,0,Inf,Inf,0,Inf,0,Inf,0,Inf,0
3,1,3,0,Inf,0,Inf,0,Inf,Inf,0,Inf,0,Inf,0,Inf,0
4,1,4,0,Inf,0,Inf,0,Inf,Inf,0,Inf,0,Inf,0,Inf,0
5,1,5,0,Inf,0,Inf,0,Inf,Inf,0,Inf,0,Inf,0,Inf,0
6,1,6,0,Inf,0,Inf,0,Inf,Inf,0,Inf,0,Inf,0,Inf,0
7,1,7,0,Inf,0,Inf,0,Inf,Inf,0,Inf,0,Inf,0,Inf,0
8,1,8,0,Inf,0,Inf,0,Inf,Inf,0,Inf,0,Inf,0,Inf,0
9,1,9,0,Inf,0,Inf,0,Inf,Inf,0,Inf,0,Inf,0,Inf,0
10,1,10,0,Inf,0,Inf,0,Inf,Inf,0,Inf,0,Inf,0,Inf,0
11,1,11,0,Inf,0,Inf,0,Inf,Inf,0,Inf,0,Inf,0,Inf,0
12,2,1,0,Inf,0,Inf,0,Inf,Inf,0,Inf,0,Inf,0,Inf,0
13,2,2,0,Inf,0,Inf,0,Inf,Inf,0,Inf,0,Inf,0,Inf,0
14,2,3,0,Inf,0,Inf,0,Inf,Inf,0,Inf,0,Inf,0,Inf,0
15,2,4,0,Inf,0,Inf,0,Inf,Inf,0,Inf,0,Inf,0,Inf,0
16,2,5,0,Inf,0,Inf,0,Inf,Inf,0,Inf,0,Inf,0,Inf,0
17,2,6,0,Inf,0,Inf,0,Inf,Inf,0,Inf,0,Inf,0,Inf,0
18,2,7,0,Inf,0,Inf,0,Inf,Inf,0,Inf,0,Inf,0,Inf,0
19,2,8,0,Inf,0,Inf,0,Inf,Inf,0,Inf,0,Inf,0,Inf,0
20,2,9,0,Inf,0,Inf,0,Inf,Inf,0,Inf,0,Inf,0,Inf,0
21,2,10,0,Inf,0,Inf,0,Inf,Inf,0,Inf,0,Inf,0,Inf,0
22,2,11,0,Inf,0,Inf,0,Inf,Inf,0,Inf,0,Inf,0,Inf,0
23,3,1,0,Inf,0,Inf,0,Inf,Inf,0,Inf,0,Inf,0,Inf,0
24,3,2,0,Inf,0,Inf,0,Inf,Inf,0,Inf,0,Inf,0,Inf,0
25,3,3,0,Inf,0,Inf,0,Inf,Inf,0,Inf,0,Inf,0,Inf,0
26,3,4,0,Inf,0,Inf,0,Inf,Inf,0,Inf,0,Inf,0,Inf,0
27,3,5,0,Inf,0,Inf,0,Inf,Inf,0,Inf,0,Inf,0,Inf,0
28,3,6,0,Inf,0,Inf,0,Inf,Inf,0,Inf,0,Inf,0,Inf,0
29,3,7,0,Inf,0,Inf,0,Inf,Inf,0,Inf,0,Inf,0,Inf,0
30,3,8,0,Inf,0,Inf,0,Inf,Inf,0,Inf,0,Inf,0,Inf,0
31,3,9,0,Inf,0,Inf,0,Inf,Inf,0,Inf,0,Inf,0,Inf,0
32,3,10,0,Inf,0,Inf,0,Inf,Inf,0,Inf,0,Inf,0,Inf,0
33,3,11,0,Inf,0,Inf,0,Inf,Inf,0,Inf,0,Inf,0,Inf,0
34,4,1,14.1447,Inf,14.1447,Inf,14.1447,Inf,3.654,16.0816,Inf,0,3.654,16.0816,Inf,0
35,4,2,12.5058,Inf,12.5058,Inf,12.5058,Inf,3.65394,16.0818,Inf,0,3.65394,16.0818,Inf,0
36,4,3,14.1597,Inf,14.1597,Inf,14.1597,Inf,3.65399,16.0816,Inf,0,3.65399,16.0816,Inf,0
37,4,4,12.565,Inf,12.565,Inf,12.565,Inf,3.65393,16.0818,Inf,0,3.65393,16.0818,Inf,0
38,4,5,0,Inf,0,Inf,0,Inf,Inf,0,Inf,0,Inf,0,Inf,0
39,4,6,0,Inf,0,Inf,0,Inf,Inf,0,Inf,0,Inf,0,Inf,0
40,4,7,13.0115,Inf,13.0115,Inf,13.0115,Inf,Inf,12.7322,Inf,0,Inf,12.7322,Inf,0
41,4,8,0,Inf,0,Inf,0,Inf,Inf,0,Inf,0,Inf,0,Inf,0
42,4,9,0,Inf,0,Inf,0,Inf,Inf,0,Inf,0,Inf,0,Inf,0
43,4,10,13.0252,Inf,13.0252,Inf,13.0252,Inf,Inf,12.7286,Inf,0,Inf,12.7286,Inf,0
44,4,11,0,Inf,0,Inf,0,Inf,Inf,0,Inf,0,Inf,0,Inf,0
45,5,1,18.5565,Inf,18.5565,Inf,18.5565,Inf,2.11022,20.8588,Inf,14.0444,2.11022,20.8588,Inf,14.0444
46,5,2,16.0774,Inf,16.0774,Inf,16.0774,Inf,2.11017,20.859,Inf,0,2.11017,20.859,Inf,0
47,5,3,18.5684,Inf,18.5684,Inf,18.5684,Inf,2.11022,20.8588,Inf,14.0481,2.11022,20.8588,Inf,14.0481
48,5,4,16.1273,Inf,16.1273,Inf,16.1273,Inf,2.11017,20.859,Inf,0,2.11017,20.859,Inf,0
49,5,5,0,Inf,0,Inf,0,Inf,Inf,13.1091,Inf,0,Inf,13.1091,Inf,0
50,5,6,0,Inf,0,Inf,0,Inf,Inf,0,Inf,0,Inf,0,Inf,0
51,5,7,17.3063,3.12381,17.3063,3.12381,17.3063,3.12381,Inf,17.0122,Inf,13.0763,Inf,17.0122,Inf,13.0763
52,5,8,0,Inf,0,Inf,0,Inf,Inf,0,Inf,0,Inf,0,Inf,0
53,5,9,0,Inf,0,Inf,0,Inf,Inf,13.1172,Inf,0,Inf,13.1172,Inf,0
54,5,10,17.318,3.11933,17.318,3.11933,17.318,3.11933,Inf,17.0087,Inf,13.0932,Inf,17.0087,Inf,13.0932
55,5,11,0,Inf,0,Inf,0,Inf,Inf,0,Inf,0,Inf,0,Inf,0
56,6,1,19.3511,Inf,19.3511,Inf,19.3511,Inf,1.92996,21.7733,Inf,14.5631,1.92996,21.7733,Inf,14.5631
57,6,2,16.8802,Inf,16.8802,Inf,16.8802,Inf,1.92992,21.7735,Inf,0,1.92992,21.7735,Inf,0
58,6,3,19.3638,Inf,19.3638,Inf,19.3638,Inf,1.92996,21.7733,Inf,14.5675,1.92996,21.7733,Inf,14.5675
59,6,4,16.9316,Inf,16.9316,Inf,16.9316,Inf,1.92992,21.7736,Inf,0,1.92992,21.7736,Inf,0
60,6,5,0,Inf,0,Inf,0,Inf,Inf,13.6483,Inf,0,Inf,13.6483,Inf,0
61,6,6,0,Inf,0,Inf,0,Inf,Inf,0,Inf,0,Inf,0,Inf,0
62,6,7,17.9305,2.89789,17.9305,2.89789,17.9305,2.89789,Inf,17.5897,Inf,13.6001,Inf,17.5897,Inf,13.6001
63,6,8,0,Inf,0,Inf,0,Inf,Inf,0,Inf,0,Inf,0,Inf,0
64,6,9,0,Inf,0,Inf,0,Inf,Inf,13.6564,Inf,0,Inf,13.6564,Inf,0
65,6,10,17.9427,2.89371,17.9427,2.89371,17.9427,2.89371,Inf,17.5864,Inf,13.6178,Inf,17.5864,Inf,13.6178
66,6,11,0,Inf,0,Inf,0,Inf,Inf,0,Inf,0,Inf,0,Inf,0
67,7,1,28.1434,Inf,28.1434,Inf,28.1434,Inf,Inf,31.2829,Inf,21.8889,Inf,31.2829,Inf,21.8889
68,7,2,24.2772,Inf,24.2772,Inf,24.2772,Inf,Inf,31.2835,Inf,11.5358,Inf,31.2835,Inf,11.5358
69,7,3,28.1531,Inf,28.1531,Inf,28.1531,Inf,Inf,31.283,Inf,21.8903,Inf,31.283,Inf,21.8903
70,7,4,24.3151,Inf,24.3151,Inf,24.3151,Inf,Inf,31.2836,Inf,11.5595,Inf,31.2836,Inf,11.5595
71,7,5,0,Inf,0,Inf,0,Inf,Inf,20.1015,Inf,0,Inf,20.1015,Inf,0
72,7,6,0,Inf,0,Inf,0,Inf,Inf,0,Inf,0,Inf,0,Inf,0
73,7,7,26.3938,Inf,26.3938,Inf,26.3938,Inf,Inf,25.9472,Inf,20.1086,Inf,25.9472,Inf,20.1086
74,7,8,0,Inf,0,Inf,0,Inf,Inf,0,Inf,0,Inf,0,Inf,0
75,7,9,0,Inf,0,Inf,0,Inf,Inf,20.108,Inf,0,Inf,20.108,Inf,0
76,7,10,26.4038,Inf,26.4038,Inf,26.4038,Inf,Inf,25.9449,Inf,20.1202,Inf,25.9449,Inf,20.1202
77,7,11,0,Inf,0,Inf,0,Inf,Inf,0,Inf,0,Inf,0,Inf,0
78,8,1,34.6887,Inf,34.6887,Inf,34.6887,Inf,0.57993,38.2688,Inf,27.4505,0.57993,38.2688,Inf,27.4505
79,8,2,29.8072,Inf,29.8072,Inf,29.8072,Inf,0.579891,38.2697,Inf,14.5586,0.579891,38.2697,Inf,14.5586
80,8,3,34.6969,Inf,34.6969,Inf,34.6969,Inf,0.579929,38.2688,Inf,27.4503,0.579929,38.2688,Inf,27.4503
81,8,4,29.8369,Inf,29.8369,Inf,29.8369,Inf,0.579891,38.2698,Inf,14.5647,0.579891,38.2698,Inf,14.5647
82,8,5,12.062,Inf,12.062,Inf,12.062,Inf,Inf,25.0265,Inf,0,Inf,25.0265,Inf,0
83,8,6,0,Inf,0,Inf,0,Inf,Inf,0,Inf,0,Inf,0,Inf,0
84,8,7,32.6751,0.878913,32.6751,0.878913,32.6751,0.878913,Inf,32.1001,Inf,25.0224,Inf,32.1001,Inf,25.0224
85,8,8,0,Inf,0,Inf,0,Inf,Inf,0,Inf,0,Inf,0,Inf,0
86,8,9,12.0696,Inf,12.0696,Inf,12.0696,Inf,Inf,25.0316,Inf,0,Inf,25.0316,Inf,0
87,8,10,32.6838,0.878284,32.6838,0.878284,32.6838,0.878284,Inf,32.0986,Inf,25.0304,Inf,32.0986,Inf,25.0304
88,8,11,0,Inf,0,Inf,0,Inf,Inf,0,Inf,0,Inf,0,Inf,0
89,9,1,37.582,Inf,37.582,Inf,37.582,Inf,0.477537,41.3262,1.12105,29.9142,0.477537,41.3262,1.12105,29.9142
90,9,2,32.2438,Inf,32.2438,Inf,32.2438,Inf,0.477502,41.3274,Inf,10.208,0.477502,41.3274,Inf,10.208
91,9,3,37.5895,Inf,37.5895,Inf,37.5895,Inf,0.477537,41.3262,1.12114,29.9134,0.477537,41.3262,1.12114,29.9134
92,9,4,32.2699,Inf,32.2699,Inf,32.2699,Inf,0.477502,41.3274,Inf,10.0772,0.477502,41.3274,Inf,10.0772
93,9,5,13.3591,Inf,13.3591,Inf,13.3591,Inf,Inf,27.2331,Inf,0,Inf,27.2331,Inf,0
94,9,6,0,Inf,0,Inf,0,Inf,Inf,0,Inf,0,Inf,0,Inf,0
95,9,7,35.4076,0.709401,35.4076,0.709401,35.4076,0.709401,Inf,34.843,Inf,27.1839,Inf,34.843,Inf,27.1839
96,9,8,0,Inf,0,Inf,0,Inf,Inf,0,Inf,0,Inf,0,Inf,0
97,9,9,13.3645,Inf,13.3645,Inf,13.3645,Inf,Inf,27.2377,Inf,0,Inf,27.2377,Inf,0
98,9,10,35.4157,0.708977,35.4157,0.708977,35.4157,0.708977,Inf,34.8418,Inf,27.1902,Inf,34.8418,Inf,27.1902
99,9,11,0,Inf,0,Inf,0,Inf,Inf,0,Inf,0,Inf,0,Inf,0
100,10,1,14.9564,Inf,14.9564,Inf,14.9564,Inf,Inf,14.9771,Inf,14.9737,Inf,14.9771,Inf,14.9737
101,10,2,14.95642,Inf,14.95642,Inf,14.95642,Inf,Inf,14.97712,Inf,14.97367,Inf,14.97712,Inf,14.97367
102,10,3,14.95642,Inf,14.95642,Inf,14.95642,Inf,Inf,14.97712,Inf,14.97367,Inf,14.97712,Inf,14.97367
103,10,4,14.95642,Inf,14.95642,Inf,14.95642,Inf,Inf,14.97712,Inf,14.97367,Inf,14.97712,Inf,14.97367
104,10,5,0.00800944,Inf,0.00800944,Inf,0.00800944,Inf,Inf,14.97712,15.0699,14.97367,Inf,14.97712,15.0699,14.97367
105,10,6,0.008006853,Inf,0.008006853,Inf,0.008006853,Inf,Inf,14.97712,15.0699,14.97367,Inf,14.97712,15.0699,14.97367
106,10,7,14.95642,Inf,14.95642,Inf,14.95642,Inf,Inf,14.97712,Inf,14.97367,Inf,14.97712,Inf,14.97367
107,10,8,0.02391995,Inf,0.02391995,Inf,0.02391995,Inf,Inf,14.97712,Inf,14.97367,Inf,14.97712,Inf,14.97367
108,10,9,0.008026659,Inf,0.008026659,Inf,0.008026659,Inf,Inf,14.97712,15.06991,14.97367,Inf,14.97712,15.06991,14.97367
109,10,10,14.95642,Inf,14.95642,Inf,14.95642,Inf,Inf,14.97712,Inf,14.97367,Inf,14.97712,Inf,14.97367
110,10,11,0.008006837,Inf,0.008006837,Inf,0.008006837,Inf,Inf,14.97712,15.0699,14.97367,Inf,14.97712,15.0699,14.97367
111,11,1,19.0837,Inf,19.0837,Inf,19.0837,Inf,Inf,19.11044,Inf,19.10527,Inf,19.11044,Inf,19.10527
112,11,2,19.0837,Inf,19.0837,Inf,19.0837,Inf,Inf,19.11044,Inf,19.10527,Inf,19.11044,Inf,19.10527
113,11,3,19.0837,Inf,19.0837,Inf,19.0837,Inf,Inf,19.11044,Inf,19.10527,Inf,19.11044,Inf,19.10527
114,11,4,19.0837,Inf,19.0837,Inf,19.0837,Inf,Inf,19.11044,Inf,19.10527,Inf,19.11044,Inf,19.10527
115,11,5,19.08369,Inf,19.08369,Inf,19.08369,Inf,Inf,19.11044,Inf,19.10527,Inf,19.11044,Inf,19.10527
116,11,6,19.08369,Inf,19.08369,Inf,19.08369,Inf,Inf,19.11044,Inf,19.10527,Inf,19.11044,Inf,19.10527
117,11,7,19.0837,Inf,19.0837,Inf,19.0837,Inf,Inf,19.11044,Inf,19.10527,Inf,19.11044,Inf,19.10527
118,11,8,19.0837,Inf,19.0837,Inf,19.0837,Inf,Inf,19.11044,Inf,19.10527,Inf,19.11044,Inf,19.10527
119,11,9,19.08369,Inf,19.08369,Inf,19.08369,Inf,Inf,19.11044,Inf,19.10527,Inf,19.11044,Inf,19.10527
120,11,10,19.08369,Inf,19.08369,Inf,19.08369,Inf,Inf,19.11044,Inf,19.10527,Inf,19.11044,Inf,19.10527
121,11,11,19.08369,Inf,19.08369,Inf,19.08369,Inf,Inf,19.11044,Inf,19.10527,Inf,19.11044,Inf,19.10527
122,12,1,21.01644,Inf,21.01644,Inf,21.01644,Inf,Inf,21.04606,Inf,21.03997,Inf,21.04606,Inf,21.03997
123,12,2,21.01644,Inf,21.01644,Inf,21.01644,Inf,Inf,21.04606,Inf,21.03997,Inf,21.04606,Inf,21.03997
124,12,3,21.01644,Inf,21.01644,Inf,21.01644,Inf,Inf,21.04606,Inf,21.03997,Inf,21.04606,Inf,21.03997
125,12,4,21.01644,Inf,21.01644,Inf,21.01644,Inf,Inf,21.04606,Inf,21.03997,Inf,21.04606,Inf,21.03997
126,12,5,21.01644,Inf,21.01644,Inf,21.01644,Inf,Inf,21.04606,Inf,21.03997,Inf,21.04606,Inf,21.03997
127,12,6,21.01644,Inf,21.01644,Inf,21.01644,Inf,Inf,21.04606,Inf,21.03997,Inf,21.04606,Inf,21.03997
128,12,7,21.01644,Inf,21.01644,Inf,21.01644,Inf,Inf,21.04606,Inf,21.03997,Inf,21.04606,Inf,21.03997
129,12,8,21.01644,Inf,21.01644,Inf,21.01644,Inf,Inf,21.04606,Inf,21.03997,Inf,21.04606,Inf,21.03997
130,12,9,21.01644,Inf,21.01644,Inf,21.01644,Inf,Inf,21.04606,Inf,21.03997,Inf,21.04606,Inf,21.03997
131,12,10,21.01644,Inf,21.01644,Inf,21.01644,Inf,Inf,21.04606,Inf,21.03997,Inf,21.04606,Inf,21.03997
132,12,11,21.01644,Inf,21.01644,Inf,21.01644,Inf,Inf,21.04606,Inf,21.03997,Inf,21.04606,Inf,21.03997
133,13,1,22.86904,Inf,22.86904,Inf,22.86904,Inf,Inf,22.90145,Inf,22.8944,Inf,22.90145,Inf,22.8944
134,13,2,22.86904,Inf,22.86904,Inf,22.86904,Inf,Inf,22.90145,Inf,22.8944,Inf,22.90145,Inf,22.8944
