index,valorFusivel,tipoCurto,I_A_Isolador,Tempo_A_Isolador,I_B_Isolador,Tempo_B_Isolador,I_C_Isolador,Tempo_C_Isolador,I_A1_Isolador,Tempo_A1_Isolador,I_B1_Isolador,Tempo_B1_Isolador,I_C1_Isolador,Tempo_C1_Isolador,I_A_Consumidor,Tempo_A_Consumidor,I_B_Consumidor,Tempo_B_Consumidor,I_C_Consumidor,Tempo_C_Consumidor
1,1,1,7.25346,10.3102,7.29822,10.1348,7.31194,10.082,7.27759,10.2151,7.26379,10.2693,7.3222,10.0427,8.16686,7.45189,8.23917,7.27774,8.14996,7.49347
2,1,2,7.25346,10.3102,7.29822,10.1348,7.31194,10.082,7.27759,10.2151,7.26379,10.2693,7.3222,10.0427,8.16686,7.45189,8.23917,7.27774,8.14996,7.49347
3,1,3,7.25346,10.3102,7.29822,10.1348,7.31194,10.082,7.27759,10.2151,7.26379,10.2693,7.3222,10.0427,8.16686,7.45189,8.23917,7.27774,8.14996,7.49347
4,1,4,7.25346,10.3102,7.29822,10.1348,7.31194,10.082,7.27759,10.2151,7.26379,10.2693,7.3222,10.0427,8.16686,7.45189,8.23917,7.27774,8.14996,7.49347
5,1,5,7.25346,10.3102,7.29822,10.1348,7.31194,10.082,7.27759,10.2151,7.26379,10.2693,7.3222,10.0427,8.16686,7.45189,8.23917,7.27774,8.14996,7.49347
6,1,6,7.25346,10.3102,7.29822,10.1348,7.31194,10.082,7.27759,10.2151,7.26379,10.2693,7.3222,10.0427,8.16686,7.45189,8.23917,7.27774,8.14996,7.49347
7,1,7,7.25346,10.3102,7.29822,10.1348,7.31194,10.082,7.27759,10.2151,7.26379,10.2693,7.3222,10.0427,8.16686,7.45189,8.23917,7.27774,8.14996,7.49347
8,1,8,7.25346,10.3102,7.29822,10.1348,7.31194,10.082,7.27759,10.2151,7.26379,10.2693,7.3222,10.0427,8.16686,7.45189,8.23917,7.27774,8.14996,7.49347
9,1,9,7.25346,10.3102,7.29822,10.1348,7.31194,10.082,7.27759,10.2151,7.26379,10.2693,7.3222,10.0427,8.16686,7.45189,8.23917,7.27774,8.14996,7.49347
10,1,10,7.25346,10.3102,7.29822,10.1348,7.31194,10.082,7.27759,10.2151,7.26379,10.2693,7.3222,10.0427,8.16686,7.45189,8.23917,7.27774,8.14996,7.49347
11,1,11,7.25346,10.3102,7.29822,10.1348,7.31194,10.082,7.27759,10.2151,7.26379,10.2693,7.3222,10.0427,8.16686,7.45189,8.23917,7.27774,8.14996,7.49347
12,1,12,7.25346,10.3102,7.29822,10.1348,7.31194,10.082,7.27759,10.2151,7.26379,10.2693,7.3222,10.0427,8.16686,7.45189,8.23917,7.27774,8.14996,7.49347
13,2,1,8.79438,6.12136,8.85871,6.00534,8.88118,5.96558,8.83092,6.05506,8.80832,6.09594,8.89498,5.94135,9.90983,4.4951,9.99108,4.40272,9.90056,4.50583
14,2,2,8.79438,6.12136,8.85871,6.00534,8.88118,5.96558,8.83092,6.05506,8.80832,6.09594,8.89498,5.94135,9.90983,4.4951,9.99108,4.40272,9.90056,4.50583
15,2,3,8.79438,6.12136,8.85871,6.00534,8.88118,5.96558,8.83092,6.05506,8.80832,6.09594,8.89498,5.94135,9.90983,4.4951,9.99108,4.40272,9.90056,4.50583
16,2,4,8.79438,6.12136,8.85871,6.00534,8.88118,5.96558,8.83092,6.05506,8.80832,6.09594,8.89498,5.94135,9.90983,4.4951,9.99108,4.40272,9.90056,4.50583
17,2,5,8.79438,6.12136,8.85871,6.00534,8.88118,5.96558,8.83092,6.05506,8.80832,6.09594,8.89498,5.94135,9.90983,4.4951,9.99108,4.40272,9.90056,4.50583
18,2,6,8.79438,6.12136,8.85871,6.00534,8.88118,5.96558,8.83092,6.05506,8.80832,6.09594,8.89498,5.94135,9.90983,4.4951,9.99108,4.40272,9.90056,4.50583
