index,valorFusivel,tipoCurto,I_A_Isolador,Tempo_A_Isolador,I_B_Isolador,Tempo_B_Isolador,I_C_Isolador,Tempo_C_Isolador,I_A1_Isolador,Tempo_A1_Isolador,I_B1_Isolador,Tempo_B1_Isolador,I_A_Consumidor,Tempo_A_Consumidor,I_B_Consumidor,Tempo_B_Consumidor
1,1,1,7.6242,8.9813,7.6324,8.9549,7.6562,8.8788,7.6428,8.9215,7.619,8.9982,7.6416,8.9255,7.6177,9.0024
2,1,2,7.6244,8.9809,7.6319,8.9565,7.6562,8.8788,7.6431,8.9207,7.6188,8.999,7.6413,8.9264,7.618,9.0015
3,1,3,7.6238,8.9829,7.6324,8.9549,7.6563,8.8784,7.6426,8.9223,7.6187,8.9994,7.6418,8.9247,7.6181,9.0011
4,1,4,7.6242,8.9813,7.6325,8.9545,7.6557,8.8804,7.6425,8.9227,7.6193,8.9975,7.642,8.9243,7.6175,9.0032
5,1,5,7.624,8.9823,7.6321,8.9559,7.6559,8.8798,7.6425,8.9225,7.6187,8.9992,7.6419,8.9245,7.6181,9.0013
6,2,1,9.3805,5.1743,9.3923,5.1576,9.4202,5.1183,9.4031,5.1424,9.3751,5.182,9.4015,5.1446,9.3736,5.1843
7,2,2,9.3808,5.174,9.3916,5.1586,9.4202,5.1183,9.4035,5.1418,9.3748,5.1825,9.4013,5.1449,9.3738,5.1839
8,2,3,9.3798,5.1753,9.3923,5.1576,9.4204,5.118,9.4027,5.1429,9.3746,5.1828,9.4018,5.1442,9.3739,5.1837
9,2,4,9.3805,5.1743,9.3925,5.1573,9.4195,5.1193,9.4025,5.1432,9.3755,5.1815,9.4019,5.144,9.3733,5.1846
10,2,5,9.3801,5.1749,9.3919,5.1582,9.4198,5.1189,9.4027,5.143,9.3747,5.1826,9.4019,5.1441,9.3739,5.1838
11,3,1,9.95276,4.44593,9.96584,4.43111,9.99494,4.3984,9.97653,4.41906,9.94737,4.45206,9.97489,4.4209,9.94571,4.45396
12,3,2,9.95302,4.44564,9.96503,4.43203,9.99494,4.3984,9.97697,4.41856,9.947,4.45249,9.97467,4.42115,9.946,4.45362
13,3,3,9.95197,4.44684,9.96584,4.43111,9.99518,4.39813,9.97616,4.41948,9.94676,4.45276,9.97517,4.42058,9.94608,4.45353
14,3,4,9.95276,4.44593,9.96606,4.43086,9.99412,4.39932,9.9759,4.41976,9.9478,4.45158,9.97526,4.42049,9.94548,4.45421
15,3,5,9.95231,4.44645,9.96535,4.43167,9.99446,4.39894,9.97607,4.41958,9.9469,4.4526,9.97525,4.4205,9.94607,4.45354
16,4,1,15.9314,3.72853,15.9563,3.71599,15.999,3.69471,15.9682,3.71007,15.9254,3.73154,15.9668,3.71073,15.9241,3.73222
17,4,2,15.9316,3.72843,15.9558,3.71625,15.999,3.69471,15.9685,3.70992,15.9252,3.73165,15.9666,3.71085,15.9244,3.73206
18,4,3,15.9309,3.72877,15.9563,3.71599,15.9992,3.69462,15.9679,3.71018,15.925,3.73173,15.9671,3.71058,15.9245,3.73202
19,4,4,15.9314,3.72853,15.9565,3.71592,15.9985,3.69497,15.9678,3.71027,15.9257,3.7314,15.9672,3.71053,15.9238,3.73234
20,4,5,15.9311,3.72866,15.956,3.71615,15.9987,3.69486,15.9679,3.71021,15.9251,3.73168,15.9672,3.71054,15.9245,3.73202
21,5,1,20.7447,2.13448,20.7818,2.12653,20.8326,2.11575,20.7909,2.12459,20.7401,2.13547,20.7898,2.12484,20.7389,2.13572
22,5,2,20.7449,2.13444,20.7815,2.12662,20.8326,2.11575,20.7912,2.12455,20.7399,2.1355,20.7896,2.12489,20.7392,2.13565
23,5,3,20.7443,2.13455,20.7818,2.12653,20.8327,2.11572,20.7908,2.12463,20.7398,2.13553,20.7901,2.12477,20.7393,2.13563
24,5,4,20.7447,2.13448,20.782,2.12651,20.8322,2.11584,20.7906,2.12466,20.7403,2.13542,20.7902,2.12476,20.7387,2.13577
25,5,5,20.7445,2.13451,20.7816,2.12658,20.8324,2.1158,20.7908,2.12463,20.7399,2.13551,20.7902,2.12476,20.7393,2.13563
26,6,1,21.6526,1.9524,21.6927,1.9449,21.7443,1.93532,21.7004,1.94347,21.6487,1.95313,21.6991,1.9437,21.6474,1.95336
27,6,2,21.6527,1.95237,21.6923,1.94497,21.7443,1.93532,21.7006,1.94343,21.6485,1.95316,21.6989,1.94374,21.6478,1.9533
28,6,3,21.6522,1.95248,21.6927,1.9449,21.7444,1.93529,21.7002,1.9435,21.6484,1.95319,21.6995,1.94364,21.6478,1.95329
29,6,4,21.6526,1.9524,21.6928,1.94487,21.7439,1.9354,21.7,1.94354,21.6489,1.95309,21.6995,1.94363,21.6472,1.95341
30,6,5,21.6524,1.95244,21.6925,1.94494,21.7441,1.93536,21.7002,1.94351,21.6485,1.95317,21.6996,1.94362,21.6479,1.95328
31,7,1,31.4376,0.98043,31.5115,0.974732,31.5687,0.97036,31.5004,0.975588,31.4432,0.980004,31.4993,0.975671,31.4421,0.980089
32,7,2,31.4378,0.980418,31.5112,0.974755,31.5687,0.97036,31.5006,0.975573,31.4431,0.980012,31.4991,0.975688,31.4424,0.980063
33,7,3,31.4374,0.980452,31.5115,0.974732,31.5688,0.97035,31.5003,0.975596,31.4429,0.980022,31.4997,0.975645,31.4424,0.98006
34,7,4,31.4376,0.98043,31.5117,0.974724,31.5683,0.970385,31.5001,0.975608,31.4433,0.97999,31.4997,0.975641,31.4418,0.980105
35,7,5,31.4376,0.980438,31.5114,0.974744,31.5685,0.970373,31.5003,0.975598,31.443,0.980013,31.4997,0.975639,31.4425,0.980056
36,8,1,38.8408,0.558374,38.9464,0.554527,38.9986,0.552642,38.9108,0.555819,38.8586,0.557725,38.9098,0.555856,38.8575,0.557763
37,8,2,38.841,0.558368,38.9462,0.554536,38.9986,0.552642,38.911,0.555813,38.8585,0.557727,38.9096,0.555864,38.8579,0.55775
38,8,3,38.8406,0.558382,38.9465,0.554527,38.9987,0.552638,38.9108,0.555822,38.8584,0.557732,38.9102,0.555844,38.8579,0.557749
39,8,4,38.8408,0.558374,38.9465,0.554524,38.9983,0.552652,38.9106,0.555827,38.8587,0.557719,38.9102,0.555842,38.8573,0.55777
40,8,5,38.8408,0.558376,38.9463,0.554532,38.9985,0.552647,38.9108,0.555822,38.8585,0.557728,38.9103,0.555841,38.858,0.557747
41,9,1,42.112,0.45566,42.2331,0.452423,42.2805,0.451168,42.184,0.453732,42.1365,0.455002,42.183,0.453759,42.1355,0.455029
42,9,2,42.1122,0.455655,42.2329,0.452429,42.2805,0.451168,42.1842,0.453728,42.1365,0.455003,42.1828,0.453764,42.1359,0.455019
43,9,3,42.1118,0.455665,42.2331,0.452423,42.2806,0.451164,42.1839,0.453734,42.1364,0.455007,42.1833,0.45375,42.1359,0.455019
44,9,4,42.112,0.45566,42.2332,0.452421,42.2802,0.451175,42.1838,0.453738,42.1367,0.454998,42.1834,0.453749,42.1353,0.455034
45,9,5,42.112,0.455661,42.233,0.452426,42.2804,0.451171,42.1839,0.453734,42.1365,0.455003,42.1834,0.453747,42.136,0.455017
46,10,1,50.5124,0.220991,50.677,0.220149,50.7043,0.22001,50.5855,0.220617,50.5581,0.220757,50.5846,0.220621,50.5572,0.220761
47,10,2,50.5126,0.22099,50.6769,0.22015,50.7043,0.22001,50.5856,0.220616,50.5581,0.220757,50.5844,0.220622,50.5576,0.220759
48,10,3,50.5123,0.220992,50.6771,0.220149,50.7044,0.22001,50.5855,0.220617,50.558,0.220757,50.5849,0.22062,50.5576,0.220759
49,10,4,50.5124,0.220991,50.6771,0.220149,50.7041,0.220011,50.5853,0.220617,50.5583,0.220756,50.5849,0.220619,50.557,0.220762
50,10,5,50.5124,0.220991,50.677,0.22015,50.7042,0.220011,50.5854,0.220617,50.5581,0.220757,50.585,0.220619,50.5576,0.220759
51,11,1,59.1609,0.404923,59.3749,0.402518,59.3694,0.402579,59.2286,0.404159,59.234,0.404097,59.2277,0.404169,59.2332,0.404107
52,11,2,59.161,0.404922,59.3748,0.40252,59.3694,0.402579,59.2287,0.404158,59.234,0.404098,59.2275,0.404171,59.2335,0.404103
53,11,3,59.1608,0.404925,59.3749,0.402518,59.3695,0.402578,59.2285,0.40416,59.2339,0.404099,59.228,0.404165,59.2335,0.404103
54,11,4,59.1609,0.404923,59.375,0.402517,59.3693,0.402581,59.2284,0.404161,59.2341,0.404096,59.2281,0.404165,59.2331,0.404109
55,11,5,59.1609,0.404923,59.3749,0.402519,59.3694,0.40258,59.2285,0.40416,59.234,0.404097,59.2281,0.404164,59.2336,0.404102
56,12,1,62.6663,0.36957,62.9013,0.367472,62.879,0.36767,62.7297,0.369002,62.7521,0.368801,62.7289,0.369009,62.7513,0.368808
57,12,2,62.6664,0.369569,62.9012,0.367473,62.879,0.36767,62.7298,0.369001,62.7521,0.368801,62.7287,0.36901,62.7516,0.368805
58,12,3,62.6662,0.369571,62.9013,0.367472,62.879,0.36767,62.7296,0.369002,62.752,0.368802,62.7292,0.369006,62.7516,0.368805
59,12,4,62.6663,0.36957,62.9014,0.367472,62.8788,0.367672,62.7295,0.369003,62.7521,0.3688,62.7292,0.369006,62.7511,0.368809
60,12,5,62.6663,0.36957,62.9013,0.367473,62.8789,0.367671,62.7296,0.369002,62.7521,0.368801,62.7292,0.369005,62.7517,0.368805
61,13,1,65.7457,0.564564,65.9996,0.559869,65.9607,0.560583,65.8043,0.563473,65.8433,0.562749,65.8035,0.563487,65.8425,0.562763
62,13,2,65.7458,0.564562,65.9995,0.559871,65.9606,0.560583,65.8044,0.563471,65.8433,0.562749,65.8034,0.56349,65.8428,0.562757
63,13,3,65.7457,0.564565,65.9996,0.559869,65.9607,0.560582,65.8043,0.563473,65.8432,0.56275,65.8038,0.563481,65.8428,0.562758
64,13,4,65.7457,0.564564,65.9996,0.559868,65.9605,0.560586,65.8042,0.563475,65.8434,0.562747,65.8039,0.563481,65.8424,0.562765
65,13,5,65.7458,0.564563,65.9995,0.55987,65.9606,0.560584,65.8043,0.563473,65.8433,0.562749,65.8039,0.56348,65.8429,0.562756
66,14,1,70.8873,0.847458,71.173,0.837748,71.1028,0.840113,70.9356,0.845802,71.0059,0.843399,70.9349,0.845825,71.0052,0.843423
67,14,2,70.8874,0.847455,71.1729,0.837751,71.1028,0.840113,70.9357,0.845799,71.0059,0.843399,70.9347,0.845831,71.0055,0.843413
68,14,3,70.8872,0.84746,71.173,0.837748,71.1029,0.840111,70.9356,0.845802,71.0059,0.843401,70.9351,0.845816,71.0055,0.843414
69,14,4,70.8873,0.847458,71.1731,0.837747,71.1027,0.840117,70.9355,0.845805,71.006,0.843397,70.9352,0.845815,71.0051,0.843427
70,14,5,70.8873,0.847457,71.173,0.83775,71.1028,0.840115,70.9356,0.845802,71.0059,0.843398,70.9352,0.845814,71.0056,0.843411
