index,valorFusivel,tipoCurto,I_A_Isolador,Tempo_A_Isolador,I_B_Isolador,Tempo_B_Isolador,I_C_Isolador,Tempo_C_Isolador,I_A1_Isolador,Tempo_A1_Isolador,I_B1_Isolador,Tempo_B1_Isolador,I_C1_Isolador,Tempo_C1_Isolador,I_A_Consumidor,Tempo_A_Consumidor,I_B_Consumidor,Tempo_B_Consumidor,I_C_Consumidor,Tempo_C_Consumidor
1,1,1,14.9774,1.64313,15.0147,1.63356,14.914,1.65959,14.9229,1.65726,15.0228,1.6315,14.9599,1.64764,0,Inf,0,Inf,0,Inf
2,1,2,14.9774,1.64313,15.0147,1.63356,14.914,1.65959,14.9229,1.65727,15.0228,1.63151,14.9599,1.64764,0,Inf,0,Inf,0,Inf
3,1,3,14.9812,1.64216,0,Inf,0,Inf,13.5219,2.09289,13.4144,2.13315,0,Inf,0,Inf,0,Inf,0,Inf
4,1,4,14.982,1.64195,0,Inf,0,Inf,13.5166,2.09484,13.4456,2.12137,0,Inf,0,Inf,0,Inf,0,Inf
5,1,5,0,Inf,0,Inf,14.914,1.65959,13.3165,2.17085,0,Inf,13.4991,2.10133,0,Inf,0,Inf,0,Inf
6,1,6,0,Inf,0,Inf,14.914,1.65959,13.3397,2.16183,0,Inf,13.4952,2.10278,0,Inf,0,Inf,0,Inf
7,1,7,0,Inf,14.8133,1.68624,0,Inf,0,Inf,13.2889,2.18165,13.3536,2.15646,0,Inf,0,Inf,0,Inf
8,1,8,0,Inf,14.7985,1.69021,0,Inf,0,Inf,13.2711,2.18865,13.3747,2.14834,0,Inf,0,Inf,0,Inf
9,1,9,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
10,1,10,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
11,1,11,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
12,1,12,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
13,2,1,23.4634,0.587977,23.5668,0.582202,23.3197,0.596143,23.3329,0.595382,23.58,0.581473,23.4365,0.589493,0,Inf,0,Inf,0,Inf
14,2,2,23.4634,0.587978,23.5668,0.582203,23.3197,0.596143,23.3329,0.595383,23.5799,0.581474,23.4365,0.589493,0,Inf,0,Inf,0,Inf
15,2,3,23.4862,0.586697,14.1161,1.88947,13.8427,1.97922,20.7137,0.778761,20.898,0.763299,0,Inf,0,Inf,0,Inf,0,Inf
16,2,4,23.4877,0.586611,14.2198,1.85701,13.8654,1.97155,20.7012,0.779828,20.9406,0.759783,0,Inf,0,Inf,0,Inf,0,Inf
