index,valorFusivel,tipoCurto,I_A_Isolador,Tempo_A_Isolador,Tempo_Abertura_A_Isolador,I_B_Isolador,Tempo_B_Isolador,Tempo_Abertura_B_Isolador,I_C_Isolador,Tempo_C_Isolador,Tempo_Abertura_C_Isolador,I_A1_Isolador,Tempo_A1_Isolador,Tempo_Abertura_A1_Isolador,I_B1_Isolador,Tempo_B1_Isolador,Tempo_Abertura_B1_Isolador,I_C1_Isolador,Tempo_C1_Isolador,Tempo_Abertura_C1_Isolador,I_A_Consumidor,Tempo_A_Consumidor,Tempo_Abertura_A_Consumidor,I_B_Consumidor,Tempo_B_Consumidor,Tempo_Abertura_B_Consumidor,I_C_Consumidor,Tempo_C_Consumidor,Tempo_Abertura_C_Consumidor
1,1,1,14.9787,1.64281,1.0727,15.0145,1.63362,1.0711,14.9155,1.65919,1.0717,14.9238,1.65703,1.0748,15.0239,1.63122,1.0714,14.9603,1.64754,1.0712,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
2,1,2,14.9786,1.64281,1.0727,15.0145,1.63362,1.0711,14.9155,1.65919,1.0717,14.9238,1.65703,1.0748,15.0239,1.63122,1.0714,14.9603,1.64754,1.0712,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
3,1,3,14.9789,1.64276,1.0727,5.18859,27.8906,1.0726,9.8631,4.54955,1.0736,14.3337,1.82229,1.073,11.6232,3.01786,1.0724,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
4,1,4,14.981,1.64221,1.0727,5.38556,24.804,1.0732,9.62099,4.84804,1.0737,14.2007,1.86294,1.073,11.7517,2.93762,1.0726,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
5,1,5,5.09481,29.5591,1.0791,9.92425,4.47849,1.0714,14.9155,1.65919,1.0717,11.5234,3.08251,1.073,2.96828,Inf,1.0869,14.3291,1.8237,1.0714,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
6,1,6,5.2407,27.0221,1.0789,9.73015,4.70995,1.0715,14.9155,1.65919,1.0717,11.6218,3.01877,1.0728,0,Inf,Inf,14.2224,1.85622,1.0714,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
7,1,7,9.87686,4.53342,1.0719,15.0139,1.63378,1.0711,5.21594,27.4299,1.0725,0,Inf,Inf,14.3612,1.81408,1.0712,11.6575,2.99613,1.0713,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
8,1,8,9.63208,4.83374,1.0719,15.0117,1.63433,1.0711,5.40866,24.4749,1.0725,0,Inf,Inf,14.2244,1.85559,1.0712,11.7818,2.91925,1.0714,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
9,1,9,3.8678,Inf,1.0756,0,Inf,Inf,3.2436,Inf,1.0753,3.8185,Inf,1.0751,3.3587,Inf,1.0798,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
10,1,10,3.60773,Inf,1.073,4.31815,51.1663,1.0724,0,Inf,Inf,0,Inf,Inf,4.37485,48.9255,1.0722,3.46865,Inf,1.0776,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
11,1,11,0,Inf,Inf,3.43534,Inf,1.0719,3.78766,Inf,1.0752,3.16722,Inf,1.0829,2.73635,Inf,1.0761,3.90279,Inf,1.0735,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
12,1,12,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
13,2,1,23.4627,0.588015,1.0722,23.5662,0.582233,1.0709,23.3199,0.596129,1.0714,23.3322,0.595422,1.0742,23.5792,0.581514,1.0712,23.4369,0.589468,1.071,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
14,2,2,23.4627,0.588016,1.0722,23.5662,0.582234,1.0709,23.3199,0.596129,1.0714,23.3322,0.595422,1.0742,23.5792,0.581515,1.0712,23.4369,0.589468,1.071,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
