index,valorFusivel,tipoCurto,I_A_Isolador,Tempo_A_Isolador,I_B_Isolador,Tempo_B_Isolador,I_C_Isolador,Tempo_C_Isolador,I_A_Consumidor,Tempo_A_Consumidor,I_B_Consumidor,Tempo_B_Consumidor
1,1,1,0.124717,47.4132,0.124717,47.4132,0.124717,47.4132,0.127741,46.8918,0.124636,47.4275
2,1,2,Inf,45.5587,Inf,45.5587,Inf,45.5587,Inf,45.4949,0.127462,46.9392
3,1,3,Inf,20.9159,Inf,20.9159,Inf,20.9159,0.117369,48.7628,0.269534,33.3261
4,1,4,Inf,37.3212,Inf,37.3212,Inf,37.3212,0.120616,48.1513,Inf,17.8067
5,1,5,Inf,27.6288,Inf,27.6288,Inf,27.6288,Inf,32.2991,Inf,33.8341
6,1,6,Inf,13.9535,Inf,13.9535,Inf,13.9535,1.08711,17.8947,Inf,35.778
7,1,7,Inf,14.0387,Inf,14.0387,Inf,14.0387,0.26908,33.3516,0.132881,46.0464
8,1,8,0.145832,44.1165,0.145832,44.1165,0.145832,44.1165,Inf,31.2135,0.134268,45.8266
9,1,9,Inf,14.7056,Inf,14.7056,Inf,14.7056,Inf,29.7438,Inf,12.734
10,1,10,0.186027,39.4574,0.186027,39.4574,0.186027,39.4574,0.194488,38.6634,Inf,30.319
11,1,11,Inf,27.4558,Inf,27.4558,Inf,27.4558,Inf,12.6049,Inf,37.5952
12,2,1,0.124717,47.4132,0.124717,47.4132,0.124717,47.4132,0.127741,46.8918,0.124636,47.4275
13,2,2,Inf,45.5587,Inf,45.5587,Inf,45.5587,Inf,45.4949,0.127462,46.9392
14,2,3,Inf,20.9159,Inf,20.9159,Inf,20.9159,0.117369,48.7628,0.269534,33.3261
15,2,4,Inf,37.3212,Inf,37.3212,Inf,37.3212,0.120616,48.1513,Inf,17.8067
16,2,5,Inf,27.6288,Inf,27.6288,Inf,27.6288,Inf,32.2991,Inf,33.8341
17,2,6,Inf,13.9535,Inf,13.9535,Inf,13.9535,1.08711,17.8947,Inf,35.778
18,2,7,Inf,14.0387,Inf,14.0387,Inf,14.0387,0.26908,33.3516,0.132881,46.0464
19,2,8,0.145832,44.1165,0.145832,44.1165,0.145832,44.1165,Inf,31.2135,0.134268,45.8266
20,2,9,Inf,14.7056,Inf,14.7056,Inf,14.7056,Inf,29.7438,Inf,12.734
21,2,10,0.186027,39.4574,0.186027,39.4574,0.186027,39.4574,0.194488,38.6634,Inf,30.319
22,2,11,Inf,27.4558,Inf,27.4558,Inf,27.4558,Inf,12.6049,Inf,37.5952
23,3,1,Inf,47.4132,Inf,47.4132,Inf,47.4132,0.127741,46.8918,0.124636,47.4275
24,3,2,Inf,45.5587,Inf,45.5587,Inf,45.5587,0.136401,45.4949,0.127462,46.9392
25,3,3,Inf,20.9159,Inf,20.9159,Inf,20.9159,0.117369,48.7628,0.269534,33.3261
26,3,4,Inf,37.3212,Inf,37.3212,Inf,37.3212,0.120616,48.1513,Inf,17.8067
27,3,5,Inf,27.6288,Inf,27.6288,Inf,27.6288,0.2888,32.2991,0.260698,33.8341
28,3,6,Inf,14.4638,Inf,14.4638,Inf,14.4638,Inf,17.8947,0.230551,35.778
29,3,7,Inf,14.0387,Inf,14.0387,Inf,14.0387,0.26908,33.3516,0.132881,46.0464
30,3,8,Inf,44.1165,Inf,44.1165,Inf,44.1165,Inf,31.2135,0.134268,45.8266
31,3,9,Inf,14.7056,Inf,14.7056,Inf,14.7056,0.346533,29.7438,Inf,13.7206
32,3,10,Inf,39.4574,Inf,39.4574,Inf,39.4574,0.194488,38.6634,Inf,13.713
33,3,11,Inf,27.4558,Inf,27.4558,Inf,27.4558,Inf,13.6161,0.206799,37.5952
34,4,1,0.376483,47.4132,0.376483,47.4132,0.376483,47.4132,0.385578,46.8918,0.376238,47.4275
35,4,2,Inf,45.5587,Inf,45.5587,Inf,45.5587,Inf,45.4949,Inf,46.9392
36,4,3,Inf,0.00800873,Inf,0.00800873,Inf,0.00800873,0.35431,48.7628,0.796711,33.3261
37,4,4,Inf,37.3212,Inf,37.3212,Inf,37.3212,0.364121,48.1513,Inf,11.7642
38,4,5,Inf,27.6288,Inf,27.6288,Inf,27.6288,Inf,32.2991,Inf,33.8341
39,4,6,Inf,14.3814,Inf,14.3814,Inf,14.3814,Inf,16.0905,Inf,35.778
40,4,7,Inf,42.4952,Inf,42.4952,Inf,42.4952,0.795436,33.3516,0.401005,46.0464
41,4,8,Inf,44.1165,Inf,44.1165,Inf,44.1165,Inf,31.2135,0.405159,45.8266
42,4,9,Inf,10.966,Inf,10.966,Inf,10.966,Inf,29.7438,Inf,12.7859
43,4,10,0.55796,39.4574,0.55796,39.4574,0.55796,39.4574,Inf,38.6634,Inf,30.319
44,4,11,Inf,27.4558,Inf,27.4558,Inf,27.4558,Inf,0,Inf,37.5952
45,5,1,0.376483,47.4132,0.376483,47.4132,0.376483,47.4132,0.385578,46.8918,0.376238,47.4275
46,5,2,Inf,45.5587,Inf,45.5587,Inf,45.5587,Inf,45.4949,Inf,46.9392
47,5,3,Inf,0.00800873,Inf,0.00800873,Inf,0.00800873,0.35431,48.7628,0.796711,33.3261
48,5,4,Inf,37.3212,Inf,37.3212,Inf,37.3212,0.364121,48.1513,Inf,11.7642
49,5,5,Inf,27.6288,Inf,27.6288,Inf,27.6288,Inf,32.2991,Inf,33.8341
50,5,6,Inf,14.3814,Inf,14.3814,Inf,14.3814,Inf,16.0905,Inf,35.778
51,5,7,Inf,42.4952,Inf,42.4952,Inf,42.4952,0.795436,33.3516,0.401005,46.0464
