index,valorFusivel,tipoCurto,I_A_Isolador,Tempo_A_Isolador,I_B_Isolador,Tempo_B_Isolador,I_C_Isolador,Tempo_C_Isolador,I_A_Consumidor,Tempo_A_Consumidor,I_B_Consumidor,Tempo_B_Consumidor
1,1,1,Inf,14.9494,Inf,14.9494,Inf,14.9494,Inf,0,Inf,0
2,1,2,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
3,1,3,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
4,1,4,Inf,14.9403,Inf,14.9403,Inf,14.9403,Inf,0,Inf,0
5,1,5,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
6,2,1,0.594026,23.3566,0.594026,23.3566,0.594026,23.3566,Inf,0,Inf,0
7,2,2,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
8,2,3,Inf,15.1669,Inf,15.1669,Inf,15.1669,Inf,0,Inf,0
9,2,4,0.592896,23.3765,0.592896,23.3765,0.592896,23.3765,Inf,0,Inf,0
10,2,5,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
11,3,1,1.22173,27.1439,1.22173,27.1439,1.22173,27.1439,Inf,0,Inf,0
12,3,2,Inf,12.6958,Inf,12.6958,Inf,12.6958,Inf,0,Inf,0
13,3,3,Inf,17.1336,Inf,17.1336,Inf,17.1336,Inf,0,Inf,0
14,3,4,1.21917,27.1714,1.21917,27.1714,1.21917,27.1714,Inf,0,Inf,0
15,3,5,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
16,4,1,0.847627,32.3545,0.847627,32.3545,0.847627,32.3545,Inf,0,Inf,0
17,4,2,Inf,14.0195,Inf,14.0195,Inf,14.0195,Inf,0,Inf,0
18,4,3,Inf,21.6513,Inf,21.6513,Inf,21.6513,Inf,0,Inf,0
19,4,4,0.844392,32.4137,0.844392,32.4137,0.844392,32.4137,Inf,0,Inf,0
20,4,5,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
21,5,1,0.635928,37.0948,0.635928,37.0948,0.635928,37.0948,Inf,0,Inf,0
22,5,2,Inf,13.0333,Inf,13.0333,Inf,13.0333,Inf,0,Inf,11.8737
23,5,3,Inf,25.0264,Inf,25.0264,Inf,25.0264,Inf,0,Inf,0
24,5,4,0.638183,37.0327,0.638183,37.0327,0.638183,37.0327,Inf,0,Inf,0
25,5,5,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
26,6,1,0.542967,39.9663,0.542967,39.9663,0.542967,39.9663,Inf,0,Inf,0
27,6,2,Inf,16.5836,Inf,16.5836,Inf,16.5836,Inf,0,Inf,11.4518
28,6,3,Inf,26.5417,Inf,26.5417,Inf,26.5417,Inf,0,Inf,0
29,6,4,0.536855,40.1796,0.536855,40.1796,0.536855,40.1796,Inf,0,Inf,0
30,6,5,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
31,7,1,Inf,51.9177,Inf,51.9177,Inf,51.9177,Inf,0,Inf,0
32,7,2,Inf,21.4057,Inf,21.4057,Inf,21.4057,Inf,0,Inf,0
33,7,3,Inf,33.421,Inf,33.421,Inf,33.421,Inf,0,Inf,0
34,7,4,Inf,51.922,Inf,51.922,Inf,51.922,Inf,0,Inf,0
35,7,5,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
36,8,1,Inf,60.7274,Inf,60.7274,Inf,60.7274,Inf,0,Inf,0
37,8,2,Inf,25.8464,Inf,25.8464,Inf,25.8464,Inf,12.833,Inf,12.9663
