n,tipoCurto,Raf,Rbf,Rcf,RaTrif,RbTrif,RcTrif,cequa,ccc,cct1,cct2,VA_T2F,VB_T2F,VC_T2F,VA_TRIF,VB_TRIF,VC_TRIF,IA_T2F,IB_T2F,IC_T2F,IA_TRIF,IB_TRIF,IC_TRIF
0.001,1,1e-05,1e-05,40,13.33,13.33,55.854374,1.7148392e-07,1.2854762e-07,3.0003154e-07,3.0003154e-07,15.921102,7535.8282,7539.7564,2765.2443,5749.1935,6567.2343,139.31199,91.673052,81.401208,126.56887,99.386031,96.099916
0.001,2,1e-05,1000000,40,20,1000000,62.52437435,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,9969.019137,14966.20405,7424.433086,9903.406953,14835.51785,6900.264925,78.57721244,2.451650518,80.58285532,82.78934477,2.006026613,84.19753607
0.001,3,1000000,1e-05,40,1000000,20,62.52437435,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,15069.64183,7396.377153,9994.733665,14825.37478,6901.060125,9880.776,3.128966119,81.44183322,79.41425776,1.8222123,84.21443813,82.96573592
0.001,4,20,20,1000000,20,20,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,3958.561559,10544.29917,13940.48858,3957.779986,10452.90333,13846.98277,99.38263872,97.9191351,2.766173665,99.03302493,98.10159152,1.738843209
0.001,5,1000000,1000000,1000000,1000000,1000000,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,14088.28033,14088.80978,14086.69111,14004.54911,13996.82352,13976.16722,2.756287409,2.776720098,2.7662231,1.776996021,2.007228547,1.776911394
0.1,1,1e-05,1e-05,40,13.33,13.33,51.640247,1.7148392e-07,1.2854762e-07,3.0003154e-07,3.0003154e-07,1483.659,7447.4226,7744.4898,3868.7234,6149.3492,6822.8706,128.47668,88.50617,78.480949,115.71528,94.953887,91.188983
0.1,2,1e-05,1000000,40,20,1000000,58.31024716,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,10136.74807,14904.69677,7601.57486,10062.42114,14801.40047,7206.911235,74.70464694,2.483974401,76.72054529,77.90890939,2.006160174,79.3377753
0.1,3,1000000,1e-05,40,1000000,20,58.31024716,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,14997.08918,7571.48748,10157.6236,14805.6943,7222.911308,10022.43283,3.087562469,77.48909709,75.45428487,1.813962646,79.53326068,78.2676509
0.1,4,20,20,1000000,20,20,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,4874.467286,10444.02466,14159.33847,4880.312216,10336.34965,14080.39858,91.86018597,90.26705237,2.766163155,91.77110514,90.75013306,1.744267006
0.1,5,1000000,1000000,1000000,1000000,1000000,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,14088.27817,14088.80867,14086.68971,14004.55109,13996.8352,13976.17209,2.756271681,2.776704382,2.766216102,1.776947085,2.00720128,1.776911717
0.15,1,1e-05,1e-05,40,13.33,13.33,49.5119,1.7148392e-07,1.2854762e-07,3.0003154e-07,3.0003154e-07,2146.6631,7457.9205,7843.0336,4373.1367,6352.5455,6961.916,123.30981,86.813948,77.081869,110.74552,92.708929,88.90119
0.15,2,1e-05,1000000,40,20,1000000,56.1819001,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,10216.91316,14876.47599,7692.549239,10140.61531,14785.05489,7357.389579,72.88784586,2.499243805,74.90859644,75.6505752,2.006223979,77.0889758
