n,tipoCurto,Raf,Rbf,Rcf,RaTrif,RbTrif,RcTrif,cequa,ccc,cct1,cct2,IA_T2F,IB_T2F,IC_T2F,IA_TRIF,IB_TRIF,IC_TRIF
0.001,1,1e-05,1e-05,40,13.33,13.33,55.85437,1.714839e-07,1.285476e-07,3.000315e-07,3.000315e-07,139.2138,91.76655,81.27597,126.5689,99.38603,96.09992
0.001,2,1e-05,1000000,40,20,1000000,62.52437435,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,79.85437855,0.009743987199,79.85903395,82.78934477,2.006026613,84.19753607
0.001,3,1000000,1e-05,40,1000000,20,62.52437435,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,0.01477874377,79.86272581,79.85067994,1.8222123,84.21443813,82.96573592
0.001,4,20,20,1000000,20,20,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,98.48247299,98.47217297,0.01195877255,99.03302493,98.10159152,1.738843209
0.001,5,1000000,1000000,1000000,1000000,1000000,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,0.007975891749,0.007975891554,0.007975682048,1.776996021,2.007228547,1.776911394
0.1,1,1e-05,1e-05,40,13.33,13.33,51.64025,1.714839e-07,1.285476e-07,3.000315e-07,3.000315e-07,128.3753,88.59086,78.36975,115.7153,94.95389,91.18898
0.1,2,1e-05,1000000,40,20,1000000,58.31024716,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,75.96077341,0.00996217913,75.9658063,77.90890939,2.006160174,79.3377753
0.1,3,1000000,1e-05,40,1000000,20,58.31024716,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,0.01443291679,75.96908444,75.95749231,1.813962646,79.53326068,78.2676509
0.1,4,20,20,1000000,20,20,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,90.89052766,90.88058124,0.01195872904,91.77110514,90.75013306,1.744267006
0.1,5,1000000,1000000,1000000,1000000,1000000,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,0.007975847674,0.007975847549,0.007975662737,1.776947085,2.00720128,1.776911717
0.15,1,1e-05,1e-05,40,13.33,13.33,49.5119,1.714839e-07,1.285476e-07,3.000315e-07,3.000315e-07,123.207,86.88932,76.97818,110.7455,92.70893,88.90119
0.15,2,1e-05,1000000,40,20,1000000,56.1819001,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,74.13463695,0.01006770759,74.1398468,75.6505752,2.006223979,77.0889758
0.15,3,1000000,1e-05,40,1000000,20,56.1819001,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,0.01427277897,74.14293068,74.13155138,1.810415217,77.35810928,76.08469202
0.15,4,20,20,1000000,20,20,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,87.39671398,87.38693602,0.01195870723,88.40247818,87.34224647,1.746520102
0.15,5,1000000,1000000,1000000,1000000,1000000,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,0.007975825414,0.007975825324,0.007975652984,1.776925658,2.007188981,1.776911122
0.2,1,1e-05,1e-05,40,13.33,13.33,47.38355,1.714839e-07,1.285476e-07,3.000315e-07,3.000315e-07,118.269,85.15882,75.63433,106.0964,90.48781,86.72832
0.2,2,1e-05,1000000,40,20,1000000,54.05355303,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,72.3939454,0.0101701131,72.39932388,73.51597799,2.006285595,74.96337912
0.2,3,1000000,1e-05,40,1000000,20,54.05355303,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,0.01412141467,72.40222259,72.39104618,1.80723456,75.29700469,74.01621148
0.2,4,20,20,1000000,20,20,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,84.11505679,84.10544014,0.0119586852,85.22398415,84.12792392,1.748483628
